Learning_Path,Specific_Learning_Path,Course_Name,Level,Duration,Rating,Desciption,ILO,Tags,Other_Language_Support,URL,Prerequisites,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars,Total Number of Students,5 Stars Percentage,5&4 Stars Percentage
AI,Artificial Intelligence Fundamentals,Introduction to Artificial Intelligence,Beginners,1h 15m,4.5,"Less than a century old, artificial intelligence (AI) has already undergone three waves of transformative development. Today it gives humanity the most powerful tools for analyzing complex data, not only to find meaning but to learn without human intervention. In this course, you?€?ll survey AI?€?s history and explore ways that it can shed light on unstructured data.","Define artificial intelligence
Describe three levels of artificial intelligence
Describe the history of AI from the past to the possible future
Define and describe machine learning
Differentiate between structured and unstructured data
Describe how machine learning structures data
Describe how machine learning structures unstructured data
Describe how machine learning uses probabilistic calculation to solve problems
Describe three methods by which machine learning analyzes data
Describe an ideal relationship between humans and machine learning","Badge Learning, Artificial Intelligence Fundamentals, Initiatives, SDI, Learning Domain, Technical_skills, Learning Domain Primary, Artificial Intelligence, Lightcast Skills Taxonomy, Artificial Intelligence Skill, Machine Learning Skill","Czech, Traditional Chinese",https://skills.yourlearning.ibm.com/activity/MDL-211?planId=PLAN-7913EE1DB030&sectionId=SECTION-A&planIdFromParentTab=PLAN-7913EE1DB030&sectionIdFromParentTab=SECTION-A&planIdForChildTab=PLAN-7913EE1DB030&_gl=1*1qub09q*_ga*MTEwMzA0NjcxNS4xNzM3NjQwNDY3*_ga_FYECCCS21D*MTczODkxNzk0My45LjEuMTczODkyNDY4My4wLjAuMA..,,2688,691,212,66,150,3807,71,89
AI,Generative AI in Action,Introduction to Generative AI,Beginners,1h 30m,4.5,"In this course, you?€?ll learn about the history of AI, how deep learning plays a pivotal role in generative AI (gen-AI), and how gen-AI works and is applied to various industries. You will also learn how to create algorithms, and gain hands-on experience writing code using popular programming languages.","Explain how generative artificial intelligence (gen-AI) works
Define what foundation models are and their role in machine learning
Understand how transformers models are used to solve various language-related tasks
Describe how prompt engineering improve generative AI models
Perform common programming tasks using Python's built-in functions and libraries
Create scripts and code for solving real-world problems and automating routine tasks","Initiatives, SDI, Learning Domain, Technical Skills- Artificial Learning, Learning Domain Primary, Artificial Intelligence",English,https://skills.yourlearning.ibm.com/activity/MDL-388,,98,42,6,4,8,158,62,89
AI,Artificial Intelligence Fundamentals,AI Ethics,Beginners,1h 45m,4,"You might have heard about problems that arise when AI systems misinterpret data or propose solutions that reflect human prejudice. In this course, you?€?ll learn about the five pillars of AI ethics: fairness, robustness, explainability, transparency, and privacy. Through real-world examples you?€?ll learn about AI ethics, how they are implemented, and why AI ethics are so important in building trustworthy AI systems.","Identify the five pillars of AI ethics
Describe fairness in AI
Describe protected attributes
Identify privileged groups and unprivileged groups
Explain AI bias
Identify robustness
Describe adversarial robustness within AI
Explain how an adversary can influence an AI system
Identify adversarial attacks
Describe explainability
Compare interpretability and explainability
Define transparency
Describe governance
Identify the business roles and the aspects of transparency they are involved in
Identify personal information
Identify sensitive personal information
Recognize model anonymization
Describe differential privacy
Explain data minimization","Badge Learning, Explore Emerging Tech, Learning Domain, Other-Emerging Technologies, Technical Skills- Artificial Intelligence, Learning Domain Primary, Artificial Intelligence, TryB4, All TryB4, Lightcast Skills Taxonomy, Artificial Intelligence Skill, Governance Skill","Czech, Traditional Chinese",https://skills.yourlearning.ibm.com/activity/MDL-220?planId=PLAN-7913EE1DB030&sectionId=SECTION-A&planIdFromParentTab=PLAN-7913EE1DB030&sectionIdFromParentTab=SECTION-A&planIdForChildTab=PLAN-7913EE1DB030&_gl=1*1v3gat9*_ga*MTEwMzA0NjcxNS4xNzM3NjQwNDY3*_ga_FYECCCS21D*MTczODkxNzk0My45LjEuMTczODkyNDY4NS4wLjAuMA..,,497,142,58,43,141,881,56,73
AI,Explore Emerging Tech,What is Artificial Intelligence?,Fundamental,45m,4.5,"Can a computer really think? Learn how experts answer this question, and explore concepts like machine learning and deep learning.",,,"English, German, French, Spanish, Portuguese (Brazil), Polish, Turkish, Korean, Traditional Chinese, Italian, Arabic, Hindi, and Japanese",,,1968,363,80,29,46,2486,79,94
AI,Artificial Intelligence Fundamentals,Natural Language Processing and Computer Vision,Advanced,1h 30m,4.5,"You might already know that some artificial intelligence systems can understand human language, identify visual images, and even create original art. But do you know how these systems do it? In this course, you?€?ll explore the theory of natural language and vision processing, and learn how these technologies drive real-world mechanisms such as chatbots and photo analysis.","Define natural language processing
Explain how AI uses natural language processing to derive meaning from text
Explain the classification problem and its solutions
Describe how a chatbot understands, reasons, learns, and interacts with users
Distinguish between intents, entities, and dialogs
Identify appropriate uses for chatbots
Identify real-world uses for natural language processing (NLP)
Describe how AI classifies images to derive meaning from them
Describe how a convolutional neural network(CNN) analyzes an image
Describe how a generative adversarial network (GAN) creates a credible image
Identify real-world uses for computer vision","Badge Learning, Artificial Intelligence Fundamentals, Initiatives, SDI, Learning Domain, Technical_skills, Learning Domain Primary, Artificial Intelligence, Lightcast Skills Taxonomy, Artificial Intelligence Skill, Natural Language Processing Skill","Czech, Traditional Chinese",https://skills.yourlearning.ibm.com/activity/MDL-214?planId=PLAN-7913EE1DB030&sectionId=SECTION-B&planIdFromParentTab=PLAN-7913EE1DB030&sectionIdFromParentTab=SECTION-B&planIdForChildTab=PLAN-7913EE1DB030,,885,233,59,25,57,1259,70,89
AI,Artificial Intelligence Fundamentals,Machine Learning and Deep Learning,Advanced,2h,4.5,"In this course, you?€?ll see how machines can learn and make amazing, evidence-based predictions. Explore the logic behind computers?€? ability to learn, then investigate new ways that AI systems inspired by neurons in the human brain can solve difficult problems.","Distinguish between artificial intelligence, machine learning, and deep learning
Describe supervised, unsupervised, and reinforcement learning
Describe decision trees, linear regression, and logistic regression
List and explain advantages of classical machine learning
Describe how neural networks are inspired by the human brain
Trace the flow of information through a perceptron?€?s nodes
Describe machine learning?€?s trial-and-error learning process
Define and describe deep learning and its ecosystem
Identify real-world applications for the deep learning ecosystem
Identify future trends for machine learning","Badge Learning, Artificial Intelligence Fundamentals, Initiatives, SDI, Learning Domain, Technical_skills, Learning Domain Primary, Artificial Intelligence, Lightcast Skills Taxonomy, Artificial Intelligence Skill, Machine Learning Skill","Czech, Traditional Chinese",https://skills.yourlearning.ibm.com/activity/MDL-212?planId=PLAN-7913EE1DB030&sectionId=SECTION-A&planIdFromParentTab=PLAN-7913EE1DB030&sectionIdFromParentTab=SECTION-A&planIdForChildTab=PLAN-7913EE1DB030&_gl=1*97x1uh*_ga*MTEwMzA0NjcxNS4xNzM3NjQwNDY3*_ga_FYECCCS21D*MTczODkxNzk0My45LjEuMTczODkyNDcwOS4wLjAuMA..,,596,143,49,16,27,831,72,89
AI,Explore Emerging Tech,Artificial Intelligence in Practice,Advanced,40m,4.5,"What's it all for? From communicating with chatbots, to piloting self-driving cars, to solving complex global problems, AI is solving problems everywhere.",,"Badge Learning, Explore Emerging Tech, Learning Domain, Other-Emerging Technologies, Technical Skills- Artificial Intelligence, Learning Domain Primary, Artificial Intelligence, TryB4, All TryB4, Lightcast Skills Taxonomy, Artificial Intelligence Skill, Communication Skill","English, German, French, Spanish, Portuguese (Brazil), Polish, Turkish, Korean, Traditional Chinese, Italian, Arabic, Hindi, and Japanese",https://skills.yourlearning.ibm.com/activity/ILB-ZKVJNXVZKMZXEWGN?_gl=1*crqqnj*_ga*MTEwMzA0NjcxNS4xNzM3NjQwNDY3*_ga_FYECCCS21D*MTczODkxNzk0My45LjEuMTczODkyNTA0My4wLjAuMA..,,928,267,42,10,17,1264,73,95
AI,Artificial Intelligence Fundamentals,Run AI Models with IBM Watson Studio,"Advanced, Experience",1h 45m,4.5,"In this course, you?€?ll practice creating an AI machine learning model in a series of simulations, using IBM Watson Studio.","Describe machine learning algorithms and models
Explain the purpose of IBM Watson Studio
Describe the key features and benefits of IBM Watson Studio
Set up a machine learning project in IBM Watson Studio
Create a Cloud Object Storage resource
Import a data set into IBM Watson Studio
Build an AI model using AutoAI in IBM Watson Studio
Run a prediction experiment for an AI model
Explain the confusion matrix
Save a model as a Jupyter Notebook
Download a notebook in Jupyter Notebook (.ipynb) format","Badge Learning, Artificial Intelligence Fundamentals, Initiatives, SDI, Learning Domain, Technical_skills, Learning Domain Primary, Artificial Intelligence, Lightcast Skills Taxonomy, Artificial Intelligence Skill, Machine Learning Skill","Czech, Traditional Chinese",https://skills.yourlearning.ibm.com/activity/MDL-219?planId=PLAN-7913EE1DB030&sectionId=SECTION-B&planIdFromParentTab=PLAN-7913EE1DB030&sectionIdFromParentTab=SECTION-B&planIdForChildTab=PLAN-7913EE1DB030,,461,154,46,20,37,718,64,86
AI,Artificial Intelligence Fundamentals,Mastering the Art of Prompt Writing,Experience,1h,4.5,"This is an activity-based course. You'll learn about AI language models and the rules to follow when giving instructions, or prompting, an AI language model. You'll walk-through a guided activity that demonstrates how to write effective prompts for an AI language model to help plan a travel itinerary. Finally, you'll participate in an activity to apply what you've learned to effectively write prompts for an AI language model to create your own custom music playlist.","Describe an AI language model
Explain how an AI language model understands and responds to humans
Identify the rules to follow to write effective prompts to generate focused and accurate results from an AI language model
List the steps to sign up for a ChatGPT account
Follow the steps to effectively write and refine a series of prompts for ChatGPT for a travel itinerary scenario
Demonstrate the steps to effectively write and refine a series of prompts for ChatGPT to create a custom music playlist","Initiatives, SDI, Learning Domain, Technical Skills-Artificial Intelligence, Learning Domain Primary, Artificial Intelligence","English, Brazilian Portuguese, Czech, French, Japanese, Spanish",https://skills.yourlearning.ibm.com/activity/MDL-298?channelId=CNL_LCB_1567443069285&channelNavigation=true,,1014,294,95,36,48,1487,68,88
AI ,Generative AI in Action,Crafting Precision Prompts with Generative AI,Experience,1h,4.5,"This is an activity-based course. You'll learn about AI language models and the rules to follow when giving instructions, or prompting, an AI language model. You'll walk-through a guided activity that demonstrates how to write effective prompts for an AI language model to help plan a travel itinerary. Finally, you'll participate in an activity to apply what you've learned to effectively write prompts for an AI language model to create your own custom music playlist.","Describe an AI language model
Explain how an AI language model understands and responds to humans
Identify the rules to follow to write effective prompts to generate focused and accurate results from an AI language model
List the steps to sign up for a ChatGPT account
Follow the steps to effectively write and refine a series of prompts for ChatGPT for a travel itinerary scenario
Demonstrate the steps to effectively write and refine a series of prompts for ChatGPT to create a custom music playlist","Administrative, NotSearchable, Initiatives, SDI, Learning Domain, Technical Skills- Artificial Intelligence, Learning Domain Primary, Artificial Intelligence",English,https://skills.yourlearning.ibm.com/activity/MDL-462,,156,33,13,12,16,230,68,82
