Job Role,Skill,Percentage
accountant,Regression,100.0
accountant,Sustainability,100.0
accountant,Tableau,100.0
accountant,Pattern,100.0
accountant,Hadoop,100.0
accountant,Matrix,100.0
accountant,Excel,100.0
accountant,Ethics,100.0
accountant,Google Cloud,100.0
accountant,Snowflake,100.0
accountant accountant,R,100.0
accountant accountant,Excel,100.0
accountant accountant,GAN,100.0
accountant accountant,account,30.88
accountant accountant,financial,16.18
accountant accountant,tax,9.3
accountant accountant,general,7.07
accountant accountant,ledger,7.04
accountant accountant,report,6.76
accountant accountant,general ledger,6.55
accountant accountant manager,R,100.0
accountant accountant manager,Excel,100.0
accountant accountant manager,account,23.82
accountant accountant manager,general ledger,11.19
accountant accountant manager,receivable,11.07
accountant accountant manager,payable,10.84
accountant accountant manager,account payable,10.84
accountant accountant manager,ledger,10.62
accountant accountant manager,general,8.24
accountant accountant manager,bank,7.98
accountant administrator,R,100.0
accountant administrator,company,17.76
accountant administrator,package,13.14
accountant administrator,part,9.7
accountant administrator,tax,9.55
accountant administrator,financial,9.39
accountant administrator,annual,9.34
accountant administrator,communication,8.64
accountant administrator,report,8.21
accountant administrator,verbal communication,7.23
accountant analyst,Sustainability,100.0
accountant analyst,R,100.0
accountant analyst,Tableau,100.0
accountant analyst,Matrix,100.0
accountant analyst,SQL,100.0
accountant analyst,Excel,100.0
accountant analyst,GAN,100.0
accountant analyst,account,25.15
accountant analyst,financial,14.39
accountant analyst,analysis,14.26
accountant auditor,R,100.0
accountant auditor,AWS,100.0
accountant auditor,GAN,100.0
accountant auditor,SQL,100.0
accountant auditor,Excel,100.0
accountant auditor,Ethics,100.0
accountant auditor,account,27.22
accountant auditor,financial,14.14
accountant auditor,audit,12.41
accountant auditor,principles,9.66
accountant auditor manager,R,100.0
accountant auditor manager,SAS,100.0
accountant auditor manager,audit,26.59
accountant auditor manager,account,12.5
accountant auditor manager,license,10.7
accountant auditor manager,compliance,9.16
accountant auditor manager,grant,7.29
accountant auditor manager,outside,7.29
accountant auditor manager,bachelor degree account,6.84
accountant auditor manager,degree account,6.73
accountant banking,R,100.0
accountant banking,Excel,100.0
accountant banking,GAN,100.0
accountant banking,account,17.3
accountant banking,account finance,13.63
accountant banking,financial,13.1
accountant banking,finance,10.08
accountant banking,general ledger,8.13
accountant banking,ledger,7.71
accountant banking,gaap,7.71
accountant consultant,R,100.0
accountant consultant,Excel,100.0
accountant consultant,account,29.97
accountant consultant,financial,14.7
accountant consultant,statements,9.09
accountant consultant,account financial,7.79
accountant consultant,gaap,7.64
accountant consultant,financial statements,7.42
accountant consultant,report,6.8
accountant consultant,record,5.93
accountant data,R,100.0
accountant data,SQL,100.0
accountant data,Excel,100.0
accountant data,data,36.99
accountant data,reconciliation,11.07
accountant data,data analysis,10.0
accountant data,analysis,8.8
accountant data,clean,6.37
accountant data,business management,6.04
accountant data,management customer service,5.42
accountant data analyst,R,100.0
accountant data analyst,Python,100.0
accountant data analyst,SQL,100.0
accountant data analyst,Excel,100.0
accountant data analyst,data,14.92
accountant data analyst,account,14.46
accountant data analyst,data analysis,13.11
accountant data analyst,analysis,11.53
accountant data analyst,excel,8.74
accountant data analyst,meet deadlines,7.66
accountant manager,R,100.0
accountant manager,Power BI,100.0
accountant manager,AWS,100.0
accountant manager,GAN,100.0
accountant manager,SQL,100.0
accountant manager,Excel,100.0
accountant manager,Ethics,100.0
